,title,language,series,author,pages,avg_rating,no_ratings,description,awards
22,The Fault in Our Stars,English,,John Green,313 pages,['4.17'],"4,081,403","Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.Insightful, bold, irreverent, and raw, The Fault in Our StarsDespite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning author John Green's most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love.","Georgia Peach Book Award (2013), Buxtehuder Bulle (2012), Odyssey Award (2013), Audie Award for Teens (2013), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2013)...moreTeen Buckeye Book Award (2014), Pennsylvania Young Readers' Choice Award for Young Adults (2013), Rhode Island Teen Book Award (2014), Evergreen Teen Book Award (2015), Soaring Eagle Book Award (2014), Milwaukee County Teen Book Award (2013), Indies Choice Book Award for Young Adult (2013), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2013), Amelia Elizabeth Walden Award (2013), Dioraphte Jongerenliteratuurprijs for vertaald boek en publieksprijs (2013), The Inky Awards for Silver Inky (2012), California Young Readers Medal for Young Adult (2015), Lincoln Award (2014), Luisterboek Award (2015), Goodreads Choice Award for Young Adult Fiction (2012) and Nominee for Best of the Best  (2018), Green Mountain Book Award (2014), The Inky Awards Shortlist for Silver Inky (2012), Louisiana Teen Readers' Choice (2015), Missouri Gateway Readers Award (2015), Oklahoma Sequoyah Award for High School (2015), Alabama Author Award for Young Adult (2013), Premio El Templo de las Mil Puertas for Mejor novela extranjera independiente (2012), FAB Award Nominee (2014), Premi Protagonista Jove for Categoria 15-16 anys (2013) "
23,"The Da Vinci Code (Robert Langdon, #2)",English,Robert Langdon,Dan Brown,489 pages,['3.88'],"2,098,944","ISBN 9780307277671 moved to this edition.While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a ISBN 9780307277671 moved to this edition.While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a trail of clues hidden in the works of Leonardo da Vinci—clues visible for all to see and yet ingeniously disguised by the painter.Even more startling, the late curator was involved in the Priory of Sion—a secret society whose members included Sir Isaac Newton, Victor Hugo, and Da Vinci—and he guarded a breathtaking historical secret. Unless Langdon and Neveu can decipher the labyrinthine puzzle—while avoiding the faceless adversary who shadows their every move—the explosive, ancient truth will be lost forever.","British Book Award for Book of the Year (2005), Book Sense Book of the Year Award for Adult Fiction (2004), Humo's Gouden Bladwijzer (2004), Zilveren Vingerafdruk (2004), The Flume: New Hampshire Teen Reader's Choice Award (2006)...moreTeen Buckeye Book Award (2005), Iowa High School Book Award (2006), Puddly Award for Fiction (2007), Missouri Gateway Readers Award for Adult (2006) "
24,Jonathan Strange & Mr Norrell,English,,Susanna Clarke,1006 pages,['3.83'],"222,270","Sophisticated, witty, and ingeniously convincing, Susanna Clarke's magisterial novel weaves magic into a flawlessly detailed vision of historical England. She has created a world so thoroughly enchanting that eight hundred pages leave readers longing for more.English magicians were once the wonder of the known world, with fairy servants at their beck and call; they could cSophisticated, witty, and ingeniously convincing, Susanna Clarke's magisterial novel weaves magic into a flawlessly detailed vision of historical England. She has created a world so thoroughly enchanting that eight hundred pages leave readers longing for more.English magicians were once the wonder of the known world, with fairy servants at their beck and call; they could command winds, mountains, and woods. But by the early 1800s they have long since lost the ability to perform magic. They can only write long, dull papers about it, while fairy servants are nothing but a fading memory.But at Hurtfew Abbey in Yorkshire, the rich, reclusive Mr Norrell has assembled a wonderful library of lost and forgotten books from England's magical past and regained some of the powers of England's magicians. He goes to London and raises a beautiful young woman from the dead. Soon he is lending his help to the government in the war against Napoleon Bonaparte, creating ghostly fleets of rain-ships to confuse and alarm the French.All goes well until a rival magician appears. Jonathan Strange is handsome, charming, and talkative-the very opposite of Mr Norrell. Strange thinks nothing of enduring the rigors of campaigning with Wellington's army and doing magic on battlefields. Astonished to find another practicing magician, Mr Norrell accepts Strange as a pupil. But it soon becomes clear that their ideas of what English magic ought to be are very different. For Mr Norrell, their power is something to be cautiously controlled, while Jonathan Strange will always be attracted to the wildest, most perilous forms of magic. He becomes fascinated by the ancient, shadowy figure of the Raven King, a child taken by fairies who became king of both England and Faerie, and the most legendary magician of all. Eventually Strange's heedless pursuit of long-forgotten magic threatens to destroy not only his partnership with Norrell, but everything that he holds dear.","Hugo Award for Best Novel (2005), Booker Prize Nominee for Longlist (2004), Nebula Award Nominee for Best Novel (2005), Locus Award for Best First Novel and Nominee for Best Fantasy Novel (2005), Guardian First Book Award Nominee (2004)...moreWorld Fantasy Award for Best Novel (2005), Mythopoeic Fantasy Award for Adult Literature (2005), Book Sense Book of the Year Award for Adult Fiction (2005), British Fantasy Award Nominee for Best Novel (2005), Cena Akademie SFFH for Kniha roku (Book of the Year) (2007) "
25,Atonement,English,,Ian McEwan,351 pages,['3.91'],"473,943","Ian McEwan’s symphonic novel of love and war, childhood and class, guilt and forgiveness provides all the satisfaction of a brilliant narrative and the provocation we have come to expect from this master of English prose.On a hot summer day in 1935, thirteen-year-old Briony Tallis witnesses the flirtation between her older sister, Cecilia, and Robbie Turner, the son of a sIan McEwan’s symphonic novel of love and war, childhood and class, guilt and forgiveness provides all the satisfaction of a brilliant narrative and the provocation we have come to expect from this master of English prose.On a hot summer day in 1935, thirteen-year-old Briony Tallis witnesses the flirtation between her older sister, Cecilia, and Robbie Turner, the son of a servant. But Briony’s incomplete grasp of adult motives and her precocious imagination bring about a crime that will change all their lives, a crime whose repercussions Atonement follows through the chaos and carnage of World War II and into the close of the twentieth century.","Booker Prize Nominee (2001), James Tait Black Memorial Prize Nominee for Fiction (2001), Whitbread Award Nominee for Novel (2001), WH Smith Literary Award (2002), Los Angeles Times Book Prize for Fiction (2002)...moreExclusive Books Boeke Prize (2002), National Book Critics Circle Award for Fiction (2002), Commonwealth Writers' Prize for Best Book in South Asia and Europe (2002), Deutscher Bücherpreis for Internationale Belletristik (2003), Premi Llibreter de narrativa Nominee (2003), International Dublin Literary Award Nominee (2003) "
26,"The Girl with the Dragon Tattoo (Millennium, #1)",,Millennium,Stieg Larsson,,['4.15'],"2,841,872",,
27,The Unbearable Lightness of Being,English,,Milan Kundera,320 pages,['4.10'],"382,143","In The Unbearable Lightness of Being, Milan Kundera tells the story of a young woman in love with a man torn between his love for her and his incorrigible womanizing and one of his mistresses and her humbly faithful lover. This magnificent novel juxtaposes geographically distant places, brilliant and playful reflections, and a variety of styles, to take its place as perhapIn The Unbearable Lightness of Being, Milan Kundera tells the story of a young woman in love with a man torn between his love for her and his incorrigible womanizing and one of his mistresses and her humbly faithful lover. This magnificent novel juxtaposes geographically distant places, brilliant and playful reflections, and a variety of styles, to take its place as perhaps the major achievement of one of the world’s truly great writers.",Los Angeles Times Book Prize for Fiction (1984)
28,The Remains of the Day,,,Kazuo Ishiguro,,['4.13'],"233,854",,
29,Beloved,English,,Toni Morrison,324 pages,['3.90'],"361,127","Winner of the Pulitzer Prize, Toni Morrison’s Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past.Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has borne the unthinkable and not gone mad, yet she is still held captive by memories of Sweet Home, the beautiful farm where so many hideousWinner of the Pulitzer Prize, Toni Morrison’s Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past.Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has borne the unthinkable and not gone mad, yet she is still held captive by memories of Sweet Home, the beautiful farm where so many hideous things happened. Meanwhile Sethe’s house has long been troubled by the angry, destructive ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.Sethe works at beating back the past, but it makes itself heard and felt incessantly in her memory and in the lives of those around her. When a mysterious teenage girl arrives, calling herself Beloved, Sethe’s terrible secret explodes into the present.Combining the visionary power of legend with the unassailable truth of history, Morrison’s unforgettable novel is one of the great and enduring works of American literature.","Pulitzer Prize for Fiction (1988), American Book Award (1988), Anisfield-Wolf Book Award (1988), National Book Critics Circle Award Nominee for Fiction (1987), Frederic G. Melcher Book Award (1988)...moreNational Book Award Finalist for Fiction (1987) "
30,Middlesex,English,,Jeffrey Eugenides,529 pages,['4.01'],"608,914","Middlesex tells the breathtaking story of Calliope Stephanides, and three generations of the Greek-American Stephanides family, who travel from a tiny village overlooking Mount Olympus in Asia Minor to Prohibition-era Detroit, witnessing its glory days as the Motor City and the race riots of 1967 before moving out to the tree-lined streets of suburban Grosse Pointe, MichigMiddlesex tells the breathtaking story of Calliope Stephanides, and three generations of the Greek-American Stephanides family, who travel from a tiny village overlooking Mount Olympus in Asia Minor to Prohibition-era Detroit, witnessing its glory days as the Motor City and the race riots of 1967 before moving out to the tree-lined streets of suburban Grosse Pointe, Michigan. To understand why Calliope is not like other girls, she has to uncover a guilty family secret, and the astonishing genetic history that turns Callie into Cal, one of the most audacious and wondrous narrators in contemporary fiction. Lyrical and thrilling, Middlesex is an exhilarating reinvention of the American epic.","Pulitzer Prize for Fiction (2003), James Tait Black Memorial Prize Nominee for Fiction (2003), Ambassador Book Award for Fiction (2003), Audie Award for Fiction, Unabridged (2003), National Book Critics Circle Award Nominee for Fiction (2002)"
31,"Twilight (The Twilight Saga, #1)",English,The Twilight Saga,Stephenie Meyer,387 pages,['3.62'],"5,506,945","About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.","Georgia Peach Book Award (2007), Buxtehuder Bulle (2006), Kentucky Bluegrass Award for 9-12 (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2009)...moreWest Australian Young Readers' Book Award (WAYRBA) for Older Readers (2008), Garden State Book Award for Fiction (Grades 9-12) (2008), South Carolina Book Award for Young Adult Book Award (2008), Grand Canyon Reader Award for Teen Book (2008), Maryland Black-Eyed Susan Book Award for High School (2008), Golden Sower Award for Young Adult (2009), Nevada Young Readers' Award for Young Adult Category  (2007), The Flume: New Hampshire Teen Reader's Choice Award (2007), Pennsylvania Young Readers' Choice Award for Young Adult (2009), Rhode Island Teen Book Award (2007), Evergreen Teen Book Award (2008), Michigan Library Association Thumbs Up! Award Nominee (2006), Teen Read Award Nominee for Best All-Time-Fave (2010), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2007), Iowa High School Book Award (2008), Eliot Rosewater Indiana High School Book Award (2008), Lincoln Award (2008), Literaturpreis der Jury der jungen Leser for Cover (2007), Prix Et-lisez-moi (2008), Missouri Gateway Readers Award (2008) "
32,"Harry Potter Box Set (Harry Potter, #1-6)",English,Harry Potter,J.K. Rowling,,['4.72'],"31,611","A boxed set of the first six titles in the Harry Potter series - Harry Potter and the Philosopher's Stone, Harry Potter and the Chamber of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Goblet of Fire, Harry Potter and the Order of the Phoenix, and Harry Potter and the Half-Blood Prince - in adult edition hardback format.A boxed set of the first six titles in the Harry Potter series - Harry Potter and the Philosopher's Stone, Harry Potter and the Chamber of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Goblet of Fire, Harry Potter and the Order of the Phoenix, and Harry Potter and the Half-Blood Prince - in adult edition hardback format.",
33,The Red Tent,English,,Anita Diamant,324 pages,['4.18'],"550,553","Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood—the world of the red tent. It begins with the story of her mothers—Leah, Rachel, ZiHer name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood—the world of the red tent. It begins with the story of her mothers—Leah, Rachel, Zilpah, and Bilhah—the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting, The Red Tent combines rich storytelling with a valuable achievement in modern fiction: a new view of biblical women's society.","Book Sense Book of the Year Award for Adult Fiction (2001), Boston Author's Club Award (1998)"
34,Looking for Alaska,English,,John Green,221 pages,['4.00'],"1,279,151","Before. Miles “Pudge” Halter is done with his safe life at home. His whole life has been one big non-event, and his obsession with famous last words has only made him crave “the Great Perhaps” even more (Francois Rabelais, poet). He heads off to the sometimes crazy and anything-but-boring world of Culver Creek Boarding School, and his life becomes the opposite of safe. BecBefore. Miles “Pudge” Halter is done with his safe life at home. His whole life has been one big non-event, and his obsession with famous last words has only made him crave “the Great Perhaps” even more (Francois Rabelais, poet). He heads off to the sometimes crazy and anything-but-boring world of Culver Creek Boarding School, and his life becomes the opposite of safe. Because down the hall is Alaska Young. The gorgeous, clever, funny, sexy, self-destructive, screwed up, and utterly fascinating Alaska Young. She is an event unto herself. She pulls Pudge into her world, launches him into the Great Perhaps, and steals his heart. Then. . . . After. Nothing is ever the same.","Los Angeles Times Book Prize Nominee for Young Adult Fiction (2005), Michael L. Printz Award (2006), Rhode Island Teen Book Award Nominee (2007), Michigan Library Association Thumbs Up! Award Nominee (2006), Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2008)...moreThe Inky Awards for Silver Inky (2007), Lincoln Award Nominee (2009), Bronzener Lufti (2007), Green Mountain Book Award (2008), The Inky Awards Shortlist for Silver Inky (2007), Alabama Author Award for Young Adult (2006), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2014) "
35,Blindness,English,,José Saramago,326 pages,['4.15'],"232,665","From Nobel Prize–winning author José Saramago, a magnificent, mesmerizing parable of lossA city is hit by an epidemic of ""white blindness"" that spares no one. Authorities confine the blind to an empty mental hospital, but there the criminal element holds everyone captive, stealing food rations and assaulting women. There is one eyewitness to this nightmare who guides her cFrom Nobel Prize–winning author José Saramago, a magnificent, mesmerizing parable of lossA city is hit by an epidemic of ""white blindness"" that spares no one. Authorities confine the blind to an empty mental hospital, but there the criminal element holds everyone captive, stealing food rations and assaulting women. There is one eyewitness to this nightmare who guides her charges—among them a boy with no mother, a girl with dark glasses, a dog of tears—through the barren streets, and their procession becomes as uncanny as the surroundings are harrowing. As Blindness reclaims the age-old story of a plague, it evokes the vivid and trembling horrors of the twentieth century, leaving readers with a powerful vision of the human spirit that's bound both by weakness and exhilarating strength.","International Dublin Literary Award Nominee (1999), Premio San Clemente Rosalía-Abanca for Novela Estranxeira (1999)"
36,The Wind-Up Bird Chronicle,English,,Haruki Murakami,607 pages,['4.15'],"241,484","Japan's most highly regarded novelist now vaults into the first ranks of international fiction writers with this heroically imaginative novel, which is at once a detective story, an account of a disintegrating marriage, and an excavation of the buried secrets of World War II.In a Tokyo suburb a young man named Toru Okada searches for his wife's missing cat. Soon he finds hJapan's most highly regarded novelist now vaults into the first ranks of international fiction writers with this heroically imaginative novel, which is at once a detective story, an account of a disintegrating marriage, and an excavation of the buried secrets of World War II.In a Tokyo suburb a young man named Toru Okada searches for his wife's missing cat. Soon he finds himself looking for his wife as well in a netherworld that lies beneath the placid surface of Tokyo. As these searches intersect, Okada encounters a bizarre group of allies and antagonists: a psychic prostitute; a malevolent yet mediagenic politician; a cheerfully morbid sixteen-year-old-girl; and an aging war veteran who has been permanently changed by the hideous things he witnessed during Japan's forgotten campaign in Manchuria.Gripping, prophetic, suffused with comedy and menace, The Wind-Up Bird Chronicle is a tour de force equal in scope to the masterpieces of Mishima and Pynchon.Three books in one volume: The Thieving Magpie, Bird as Prophet, The Birdcatcher. This translation by Jay Rubin is in collaboration with the author.","Japan-U.S. Friendship Commission Prize for the Translation of Japanese Literature (1999), Yomiuri Prize 読売文学賞 for Fiction (1995), International Dublin Literary Award Nominee for Shortlist (1999)"
37,Cold Mountain,English,,Charles Frazier,449 pages,['3.87'],"231,740","Cold Mountain is a novel about a soldier’s perilous journey back to his beloved near the Civil War's end. At once a love story & a harrowing account of one man’s long walk home, Cold Mountain introduces a new talent in American literature.Based on local history & family stories passed down by Frazier’s great-great-grandfather, Cold Mountain is the tale of a wounded ConfedeCold Mountain is a novel about a soldier’s perilous journey back to his beloved near the Civil War's end. At once a love story & a harrowing account of one man’s long walk home, Cold Mountain introduces a new talent in American literature.Based on local history & family stories passed down by Frazier’s great-great-grandfather, Cold Mountain is the tale of a wounded Confederate soldier, Inman, who walks away from the ravages of the war & back home to his prewar sweetheart, Ada. His odyssey thru the devastated landscape of the soon-to-be-defeated South interweaves with Ada’s struggle to revive her father’s farm, with the help of an intrepid young drifter named Ruby. As their long-separated lives begin to converge at the close of the war, Inman & Ada confront the vastly transformed world they’ve been delivered.Frazier reveals insight into human relations with the land & the dangers of solitude. He also shares with the great 19th century novelists a keen observation of a society undergoing change. Cold Mountain recreates a world gone by that speaks to our time.","National Book Award for Fiction (1997), American Booksellers Book Of The Year  Award for Adult Trade (1998), Exclusive Books Boeke Prize (1998), Sue Kaufman Prize for First Fiction (1998), Chicago Tribune Heartland Prize for Fiction (1997)...moreNational Book Critics Circle Award Nominee for Fiction (1997), Weatherford Award (1997), Lillian Smith Book Award (1997), Thomas Wolfe Memorial Literary Award (1997) "
38,The Amazing Adventures of Kavalier & Clay,English,,Michael Chabon,639 pages,['4.17'],"192,189","Joe Kavalier, a young Jewish artist who has also been trained in the art of Houdini-esque escape, has just smuggled himself out of Nazi-invaded Prague and landed in New York City. His Brooklyn cousin Sammy Clay is looking for a partner to create heroes, stories, and art for the latest novelty to hit America - the comic book. Drawing on their own fears and dreams, Kavalier Joe Kavalier, a young Jewish artist who has also been trained in the art of Houdini-esque escape, has just smuggled himself out of Nazi-invaded Prague and landed in New York City. His Brooklyn cousin Sammy Clay is looking for a partner to create heroes, stories, and art for the latest novelty to hit America - the comic book. Drawing on their own fears and dreams, Kavalier and Clay create the Escapist, the Monitor, and Luna Moth, inspired by the beautiful Rosa Saks, who will become linked by powerful ties to both men. With exhilarating style and grace, Michael Chabon tells an unforgettable story about American romance and possibility.","Pulitzer Prize for Fiction (2001), PEN/Faulkner Award for Fiction Nominee (2001), Gaylactic Spectrum Award Nominee for Best Novel (2001), California Book Award for Fiction (Gold) (2000), Los Angeles Times Book Prize Nominee for Fiction (2000)...moreNew York City Book Award for Fiction (2000), National Book Critics Circle Award Nominee for Fiction (2000) "
39,"Holes (Holes, #1)",English,Holes,Louis Sachar,233 pages,['3.98'],"1,059,878","Stanley Yelnats is under a curse. A curse that began with his no-good-dirty-rotten-pig-stealing-great-great-grandfather and has since followed generations of Yelnats. Now Stanley has been unjustly sent to a boys’ detention center, Camp Green Lake, where the boys build character by spending all day, every day digging holes exactly five feet wide and five feet deep. There isStanley Yelnats is under a curse. A curse that began with his no-good-dirty-rotten-pig-stealing-great-great-grandfather and has since followed generations of Yelnats. Now Stanley has been unjustly sent to a boys’ detention center, Camp Green Lake, where the boys build character by spending all day, every day digging holes exactly five feet wide and five feet deep. There is no lake at Camp Green Lake. But there are an awful lot of holes.It doesn’t take long for Stanley to realize there’s more than character improvement going on at Camp Green Lake. The boys are digging holes because the warden is looking for something. But what could be buried under a dried-up lake? Stanley tries to dig up the truth in this inventive and darkly humorous tale of crime and punishment—and redemption.","Newbery Medal (1999), National Book Award for Young People's Literature (1998), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2001), Grand Canyon Reader Award for Teen Book (2001), Nene Award (2001)...moreMaryland Black-Eyed Susan Book Award for Grade 6-9 (2001), Massachusetts Children's Book Award (2001), Flicker Tale Children's Book Award (2000), Pennsylvania Young Readers' Choice Award for Grades 6-8 (2000), Vermont Golden Dome Book Award (2000), Evergreen Teen Book Award (2001), Soaring Eagle Book Award (2003), Sunshine State Young Readers Award for Grades 3-5 and Grades 6-8 (2002), Pacific Northwest Library Association Young Reader's Choice Award for Junior (2001), Zilveren Zoen (2000), Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2001), Boston Globe-Horn Book Award for Fiction (1999), New Mexico Land of Enchantment Award for Young Adult (2001), William Allen White Children's Book Award (2001), Oklahoma Sequoyah Award for Children and YA (2001), Rebecca Caudill Young Readers' Book Award (2002), Premi Protagonista Jove for Categoria 14-15 anys (2000) "
40,Water for Elephants,English,,Sara Gruen,335 pages,['4.09'],"1,473,791","Winner of the 2007 BookBrowse Award for Most Popular Book.An atmospheric, gritty, and compelling novel of star-crossed lovers, set in the circus world circa 1932, by the bestselling author of Riding Lessons. When Jacob Jankowski, recently orphaned and suddenly adrift, jumps onto a passing train, he enters a world of freaks, drifters, and misfits, a second-rate circus strugWinner of the 2007 BookBrowse Award for Most Popular Book.An atmospheric, gritty, and compelling novel of star-crossed lovers, set in the circus world circa 1932, by the bestselling author of Riding Lessons. When Jacob Jankowski, recently orphaned and suddenly adrift, jumps onto a passing train, he enters a world of freaks, drifters, and misfits, a second-rate circus struggling to survive during the Great Depression, making one-night stands in town after endless town. A veterinary student who almost earned his degree, Jacob is put in charge of caring for the circus menagerie. It is there that he meets Marlena, the beautiful young star of the equestrian act, who is married to August, the charismatic but twisted animal trainer. He also meets Rosie, an elephant who seems untrainable until he discovers a way to reach her. Beautifully written, Water for Elephants is illuminated by a wonderful sense of time and place. It tells a story of a love between two people that overcomes incredible odds in a world in which even love is a luxury that few can afford.","Book Sense Book of the Year Award for Adult Fiction (2007), ALA Alex Award (2007), The Quill Award Nominee for General Fiction (2006), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)"
41,"Bridget Jones's Diary (Bridget Jones, #1)",English,Bridget Jones,Helen Fielding,288 pages,['3.79'],"916,775","Meet Bridget Jones—a 30-something Singleton who is certain she would have all the answers if she could:a. lose 7 poundsb. stop smokingc. develop Inner Poise""123 lbs. (how is it possible to put on 4 pounds in the middle of the night? Could flesh have somehow solidified becoming denser and heavier? Repulsive, horrifying notion), alcohol units 4 (excellent), cigarettes 21 (poMeet Bridget Jones—a 30-something Singleton who is certain she would have all the answers if she could:a. lose 7 poundsb. stop smokingc. develop Inner Poise""123 lbs. (how is it possible to put on 4 pounds in the middle of the night? Could flesh have somehow solidified becoming denser and heavier? Repulsive, horrifying notion), alcohol units 4 (excellent), cigarettes 21 (poor but will give up totally tomorrow), number of correct lottery numbers 2 (better, but nevertheless useless)...""Bridget Jones' Diary is the devastatingly self-aware, laugh-out-loud daily chronicle of Bridget's permanent, doomed quest for self-improvement — a year in which she resolves to: reduce the circumference of each thigh by 1.5 inches, visit the gym three times a week not just to buy a sandwich, form a functional relationship with a responsible adult, and learn to program the VCR.Over the course of the year, Bridget loses a total of 72 pounds but gains a total of 74. She remains, however, optimistic. Through it all, Bridget will have you helpless with laughter, and — like millions of readers the world round — you'll find yourself shouting, ""Bridget Jones is me!""","Audie Award for Solo Narration - Female (2000), British Book of the Year (1998)"
42,The Help,English,,Kathryn Stockett,534 pages,['4.46'],"2,369,043","Three ordinary women are about to take one extraordinary step . . .Aibileen is a black maid in 1962 Jackson, Mississippi, raising her seventeenth white child. She's always taken orders quietly, but lately it leaves her with a bitterness she can no longer bite back. Her friend Minny has certainly never held her tongue, or held on to a job for very long, but now she's woThree ordinary women are about to take one extraordinary step . . .Aibileen is a black maid in 1962 Jackson, Mississippi, raising her seventeenth white child. She's always taken orders quietly, but lately it leaves her with a bitterness she can no longer bite back. Her friend Minny has certainly never held her tongue, or held on to a job for very long, but now she's working for a newcomer with secrets that leave her speechless. And white socialite Skeeter has just returned from college with ambition and a degree but, to her mother's lament, no husband. Normally Skeeter would find solace in Constantine, the beloved maid who raised her, but Constantine has inexplicably disappeared.Together, these seemingly different women join to work on a project that could forever alter their destinies and the life of a small town—to write, in secret, a tell-all book about what it's really like to work as a black maid in the white homes of the South. Despite the terrible risks they will have to take, and the sometimes humorous boundaries they will have to cross, these three women unite with one intention: hope for a better day.Includes an essay by Katherine Stockett and a Reading Group Guide","Orange Prize Nominee for Fiction Longlist (2010), Audie Award for Fiction (2010), Exclusive Books Boeke Prize (2009), SIBA Book Award for Fiction (2010), Indies Choice Book Award for Adult Debut (2010)...morePuddly Award for Fiction (2011), Lincoln Award Nominee (2013), Grand Prix des lectrices de Elle for roman (2011), Goodreads Choice Award for Fiction (2009) and Nominee for Best of the Best  (2018), Townsend Prize for Fiction (2010) "
43,"Angela's Ashes (Frank McCourt, #1)",English,Frank McCourt,Frank McCourt,452 pages,['4.12'],"578,926","Imbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic.""When I look back on my childhood I wonder how I managed to survive at all. It was, of course, a miserable childhood: the happy childhood is hardly worth your while. Worse than the ordinary miserable childhood is the miserable Irish childImbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic.""When I look back on my childhood I wonder how I managed to survive at all. It was, of course, a miserable childhood: the happy childhood is hardly worth your while. Worse than the ordinary miserable childhood is the miserable Irish childhood, and worse yet is the miserable Irish Catholic childhood."" So begins the Pulitzer Prize winning memoir of Frank McCourt, born in Depression-era Brooklyn to recent Irish immigrants and raised in the slums of Limerick, Ireland. Frank's mother, Angela, has no money to feed the children since Frank's father, Malachy, rarely works, and when he does he drinks his wages. Yet Malachy—exasperating, irresponsible and beguiling—does nurture in Frank an appetite for the one thing he can provide: a story. Frank lives for his father's tales of Cuchulain, who saved Ireland, and of the Angel on the Seventh Step, who brings his mother babies. Perhaps it is story that accounts for Frank's survival. Wearing rags for diapers, begging a pig's head for Christmas dinner and gathering coal from the roadside to light a fire, Frank endures poverty, near-starvation and the casual cruelty of relatives and neighbors—yet lives to tell his tale with eloquence, exuberance and remarkable forgiveness. Angela's Ashes, imbued on every page with Frank McCourt's astounding humor and compassion, is a glorious book that bears all the marks of a classic.","Pulitzer Prize for Biography or Autobiography (1997), American Booksellers Book Of The Year  Award for Adult Trade (1997), Audie Award for Nonfiction, Abridged (1997), Los Angeles Times Book Prize for Biography (1996), Exclusive Books Boeke Prize (1997)...moreNational Book Critics Circle Award for Biography/Autobiography (1996) "
44,"The Girl Who Played with Fire (Millennium, #2)",,Millennium,Stieg Larsson,,['4.24'],"863,376",,
